UID         PID   PPID  C STIME TTY          TIME CMD
zxy        2996      1  0 11月26 ?      00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
zxy        3003      1  0 11月26 ?      00:00:00 /usr/libexec/gvfs-afc-volume-monitor
zxy        3010   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-account
zxy        3011   2648  0 11月26 ?      00:00:02 /usr/libexec/gsd-power
zxy        3015   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-print-notifications
zxy        3017   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-rfkill
zxy        3025   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-screensaver-proxy
zxy        3031   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-sharing
zxy        3035   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-sound
zxy        3038   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-xsettings
zxy        3040   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-wacom
zxy        3041   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-smartcard
zxy        3052   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-a11y-settings
zxy        3054   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-clipboard
zxy        3058   2648  0 11月26 ?      00:02:09 /usr/libexec/gsd-color
zxy        3060   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-datetime
zxy        3064   2648  0 11月26 ?      00:00:07 /usr/libexec/gsd-housekeeping
zxy        3070   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-keyboard
zxy        3076   2648  0 11月26 ?      00:00:01 /usr/libexec/gsd-media-keys
zxy        3078   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-mouse
zxy        3108      1  0 11月26 ?      00:00:00 /usr/libexec/gsd-printer
zxy        3126   2648  0 11月26 ?      00:00:01 nautilus-desktop --force
zxy        3134   2690  0 11月26 ?      00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
zxy        3149   2648  0 11月26 ?      00:00:00 /usr/libexec/gsd-disk-utility-notify
zxy        3150      1  0 11月26 ?      00:00:00 /usr/libexec/evolution-calendar-factory
zxy        3159      1  0 11月26 ?      00:11:04 /usr/bin/vmtoolsd -n vmusr
zxy        3167   2648  0 11月26 ?      00:00:00 abrt-applet
zxy        3172   2872  0 11月26 ?      00:00:00 /usr/libexec/ibus-engine-libpinyin --ibus
zxy        3175   2648  0 11月26 ?      00:00:02 /usr/libexec/evolution/evolution-alarm-notify
zxy        3176      1  0 11月26 ?      00:00:00 /usr/libexec/tracker-store
zxy        3182   2648  0 11月26 ?      00:00:00 /usr/bin/seapplet
zxy        3208   2648  0 11月26 ?      00:00:00 /usr/libexec/tracker-extract
zxy        3216   2648  0 11月26 ?      00:00:00 /usr/libexec/tracker-miner-apps
zxy        3223   2648  0 11月26 ?      00:00:00 /usr/libexec/tracker-miner-fs
zxy        3230   2648  0 11月26 ?      00:00:00 /usr/libexec/tracker-miner-user-guides
zxy        3237   2648  0 11月26 ?      00:00:34 /usr/bin/gnome-software --gapplication-service
zxy        3258   3150  0 11月26 ?      00:00:00 /usr/libexec/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx3150x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/3150/2
zxy        3296      1  0 11月26 ?      00:00:00 /usr/libexec/evolution-addressbook-factory
zxy        3303   2690  0 11月26 ?      00:00:00 /usr/libexec/gvfsd-burn --spawner :1.4 /org/gtk/gvfs/exec_spaw/1
zxy        3344   3296  0 11月26 ?      00:00:00 /usr/libexec/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx3296x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/3296/2
